element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
35,8,18,7,False,2021-08-14T14:00:00Z,3,2,1,90,1,0,0,3,0,0,0,0,0,0,0,28,40.4,2.1,13.0,5.6,60,0,60533,0,0
35,11,14,3,True,2021-08-21T14:00:00Z,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,14,10.2,40.6,5.0,5.6,60,16498,99747,24903,8405
35,21,3,0,True,2021-08-28T14:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-3069,100236,11295,14364
35,33,6,1,False,2021-09-11T16:30:00Z,3,0,4,90,0,0,0,3,0,0,0,1,0,0,0,16,19.2,58.3,3.0,8.1,60,-28853,71270,2096,30949
35,41,8,1,True,2021-09-18T16:30:00Z,3,0,5,39,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1.1,11.0,1.6,59,-4859,69175,4330,9189
35,58,13,2,False,2021-09-25T11:30:00Z,0,1,6,90,0,0,1,0,0,0,0,1,0,0,0,-1,3.6,4.4,0.0,0.8,59,-10895,58435,1112,12007
35,68,17,2,False,2021-10-03T13:00:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,4,8.8,11.9,18.0,3.9,58,-1811,57700,2059,3870
35,72,20,13,True,2021-10-16T14:00:00Z,2,3,8,90,1,1,0,3,0,0,0,0,0,0,3,49,70.8,50.6,8.0,12.9,58,627,59182,4446,3819
35,81,1,1,False,2021-10-22T19:00:00Z,3,1,9,90,0,0,0,3,0,0,0,1,0,0,0,7,4.2,11.3,8.0,2.4,58,26430,90183,31245,4815
35,91,19,1,True,2021-10-31T16:30:00Z,1,4,10,90,0,0,0,4,0,0,0,1,0,0,0,4,6.8,15.3,9.0,3.1,58,-5217,84531,8626,13843
35,109,16,2,False,2021-11-05T20:00:00Z,1,0,11,90,0,0,0,1,0,0,0,0,0,0,0,8,13.6,16.4,9.0,3.9,58,324,86143,8811,8487
35,111,4,3,True,2021-11-20T15:00:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,0,13,17.8,15.4,8.0,4.1,58,-300,86847,9339,9639
35,126,7,10,False,2021-11-27T15:00:00Z,1,2,13,90,1,0,0,1,0,0,0,0,0,0,3,40,51.8,19.3,12.0,8.3,58,94,87366,7861,7767
35,131,12,2,True,2021-12-01T20:15:00Z,1,2,14,90,0,0,0,2,0,0,0,0,0,0,0,15,21.8,32.1,0.0,5.4,58,15938,104599,21501,5563
