element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
335,4,8,2,False,2021-08-14T14:00:00Z,3,1,1,79,0,0,0,2,0,0,0,0,0,0,0,12,7.4,6.3,8.0,2.2,45,0,37248,0,0
335,19,13,2,True,2021-08-22T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,22.2,2.0,0.0,2.4,45,81,41948,3802,3721
335,25,14,2,False,2021-08-28T14:00:00Z,2,2,3,87,0,0,0,1,0,0,0,0,0,0,0,16,11.8,19.0,24.0,5.5,45,1546,45605,6517,4971
335,39,19,0,True,2021-09-11T14:00:00Z,0,0,4,52,0,0,0,0,0,0,0,1,0,0,0,2,5.4,0.8,0.0,0.6,45,3540,51878,13706,10166
335,45,12,3,False,2021-09-18T14:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,16,14.2,11.3,0.0,2.6,45,-2289,49480,4246,6535
335,59,20,2,True,2021-09-26T13:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,17,13.6,29.0,1.0,4.4,45,2259,53093,6317,4058
335,63,6,1,False,2021-10-02T14:00:00Z,3,1,7,90,0,0,0,3,0,0,0,1,0,0,0,12,27.4,11.5,0.0,3.9,45,-1400,51719,2882,4282
335,79,10,3,True,2021-10-16T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,13,8.6,2.9,0.0,1.2,45,468,52933,4946,4478
335,89,5,2,True,2021-10-23T14:00:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,14,16.2,28.4,0.0,4.5,45,830,54195,4079,3249
335,99,18,3,False,2021-10-30T14:00:00Z,0,1,10,89,0,0,1,0,0,0,0,0,0,0,0,14,14.2,26.3,22.0,6.3,45,-2316,51960,2118,4434
335,109,2,2,True,2021-11-05T20:00:00Z,1,0,11,90,0,0,1,0,0,0,0,1,0,0,0,15,10.2,2.3,1.0,1.4,45,345,52831,3129,2784
335,117,15,2,False,2021-11-20T15:00:00Z,2,1,12,72,0,0,0,1,0,0,0,0,0,0,0,16,7.6,5.6,10.0,2.3,45,466,53763,3779,3313
335,128,11,2,False,2021-11-27T15:00:00Z,4,0,13,90,0,0,0,4,0,0,0,0,0,0,0,12,12.6,2.3,2.0,1.7,45,-469,53233,2376,2845
335,139,9,1,True,2021-12-01T19:30:00Z,2,2,14,90,0,0,0,2,0,0,0,1,0,0,0,11,12.6,22.6,2.0,3.7,45,792,54277,2781,1989
335,146,4,1,True,2021-12-04T15:00:00Z,1,1,15,90,0,0,0,1,0,0,0,1,0,0,0,9,13.0,13.2,8.0,3.4,45,-907,53457,2223,3130
335,151,1,0,False,2021-12-11T15:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7936,44932,267,8203
335,165,7,2,False,2021-12-15T19:30:00Z,2,2,17,90,0,0,0,2,0,0,0,0,0,0,0,7,5.2,1.9,4.0,1.1,45,-2186,43299,350,2536
335,189,19,2,False,2021-12-26T15:00:00Z,2,3,19,90,0,0,0,2,0,0,0,0,0,0,0,15,16.2,13.3,3.0,3.3,45,-514,42137,1134,1648
335,199,17,0,True,2021-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,132,42279,1148,1016
335,176,3,5,True,2022-01-11T19:45:00Z,4,1,21,90,0,1,0,1,0,0,0,0,0,0,0,19,28.6,28.6,14.0,7.1,45,-1638,39789,488,2126
335,220,20,2,False,2022-01-15T15:00:00Z,3,1,22,90,0,0,0,3,0,0,0,0,0,0,0,25,25.0,46.0,15.0,8.6,45,-1516,38247,759,2275
