element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
84,1,1,3,True,2021-08-13T19:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,6,6.2,1.4,2.0,1.0,50,0,3003,0,0
84,13,7,3,False,2021-08-21T14:00:00Z,0,0,2,86,0,0,1,0,0,0,0,0,0,0,0,17,14.6,23.0,16.0,5.4,50,186,4523,715,529
84,21,2,1,False,2021-08-28T14:00:00Z,1,1,3,88,0,0,0,1,0,0,0,1,0,0,0,14,12.4,21.7,0.0,3.4,50,67,4980,761,694
84,32,4,3,True,2021-09-11T14:00:00Z,0,1,4,67,0,0,1,0,0,0,0,0,0,0,0,11,14.6,15.3,21.0,5.1,50,-277,5107,776,1053
84,50,20,3,False,2021-09-18T11:30:00Z,0,2,5,90,0,0,1,0,0,0,0,0,0,0,0,8,20.2,24.8,18.0,6.3,50,365,5816,1178,813
84,52,11,10,True,2021-09-25T16:30:00Z,3,3,6,90,1,0,0,3,0,0,0,0,0,0,3,32,49.0,26.7,33.0,10.9,50,231,6287,1010,779
84,69,19,0,False,2021-10-03T13:00:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,20049,29465,23036,2987
84,73,6,0,True,2021-10-16T16:30:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-5080,22680,2822,7902
84,82,9,0,True,2021-10-24T13:00:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4647,18196,364,5011
84,92,5,1,False,2021-10-30T14:00:00Z,3,1,10,22,0,0,0,0,0,0,0,0,0,0,0,3,3.8,0.9,7.0,1.2,50,-4297,13921,103,4400
84,102,15,1,True,2021-11-06T15:00:00Z,1,2,11,45,0,0,0,2,0,0,0,0,0,0,0,3,6.2,1.4,0.0,0.8,50,-646,13660,481,1127
84,116,14,2,False,2021-11-20T15:00:00Z,3,3,12,88,0,0,0,3,0,0,0,0,0,0,0,8,16.6,1.6,0.0,1.8,50,-596,13216,557,1153
84,122,8,3,True,2021-11-28T14:00:00Z,1,0,13,90,0,0,1,0,0,0,0,0,0,0,0,8,18.0,11.6,2.0,3.2,50,-587,12709,263,850
84,140,17,2,False,2021-12-02T19:30:00Z,2,0,14,69,0,0,0,2,0,0,0,0,0,0,0,11,7.6,11.3,2.0,2.1,50,-124,12667,444,568
84,143,10,2,False,2021-12-05T14:00:00Z,2,2,15,89,0,0,0,1,0,0,0,0,0,0,0,11,9.0,30.9,2.0,4.2,50,-524,12188,289,813
84,152,18,1,True,2021-12-10T20:00:00Z,2,1,16,90,0,0,0,1,0,0,0,1,0,0,0,16,33.6,30.7,41.0,10.5,50,114,12454,908,794
84,182,4,0,False,2021-12-26T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-367,10381,133,500
84,192,12,0,True,2021-12-29T20:15:00Z,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-541,9698,11,552
