element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
145,7,11,2,True,2021-08-14T16:30:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,14,11.6,2.1,0.0,1.4,45,0,592329,0,0
145,16,12,2,False,2021-08-21T14:00:00Z,5,0,2,90,0,0,0,5,0,0,0,0,0,0,0,15,9.0,4.4,0.0,1.3,45,11228,649449,49012,37784
145,26,9,2,True,2021-08-28T14:00:00Z,1,2,3,78,0,0,0,2,0,0,0,0,0,0,0,11,8.6,2.8,8.0,1.9,45,-23479,632575,39321,62800
145,31,1,0,False,2021-09-11T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-17005,627537,110947,127952
145,47,18,3,True,2021-09-18T14:00:00Z,1,3,5,90,0,0,0,3,0,0,0,0,0,0,1,27,25.6,47.4,2.0,7.5,45,-35048,595783,46575,81623
145,55,8,0,False,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-16065,582889,27219,43284
145,62,5,0,False,2021-10-02T14:00:00Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-55748,526169,8242,63990
145,78,4,0,True,2021-10-16T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-40201,489503,11136,51337
145,84,6,0,False,2021-10-23T11:30:00Z,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-54936,432600,5608,60544
145,97,10,0,True,2021-10-31T14:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-23964,413640,12570,36534
145,102,3,0,False,2021-11-06T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-14253,400757,8643,22896
145,117,16,5,True,2021-11-20T15:00:00Z,2,1,12,85,0,1,0,1,0,0,0,0,0,0,0,21,28.6,43.5,0.0,7.2,44,-14078,387840,8843,22921
145,130,20,2,True,2021-11-27T15:00:00Z,0,0,13,90,0,0,1,0,0,0,0,1,0,0,0,13,8.8,28.8,0.0,3.8,44,18489,408699,28380,9891
145,138,14,2,False,2021-11-30T19:30:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,9,12.0,44.0,7.0,6.3,44,10913,419836,19327,8414
145,147,17,1,False,2021-12-05T14:00:00Z,3,0,15,80,0,0,0,3,0,0,0,1,0,0,0,9,3.6,17.7,2.0,2.3,44,699,420804,15999,15300
