element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
288,6,10,2,True,2021-08-14T11:30:00Z,5,1,1,90,0,0,0,1,0,0,0,0,0,0,0,8,4.8,2.3,2.0,0.9,55,0,704348,0,0
288,19,16,2,False,2021-08-22T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,21.2,32.3,2.0,5.6,55,-47625,707386,17513,65138
288,30,20,8,False,2021-08-29T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,2,31,17.0,3.1,0.0,2.0,55,-66740,654005,11302,78042
288,38,14,2,True,2021-09-11T14:00:00Z,4,1,4,90,0,0,0,1,0,0,0,0,0,0,0,17,20.0,15.3,4.0,3.9,55,-55262,618617,37244,92506
288,49,19,2,False,2021-09-19T13:00:00Z,1,2,5,90,0,0,0,1,0,0,0,0,0,0,0,20,22.2,5.6,21.0,4.9,54,-79631,542701,8006,87637
288,58,2,2,True,2021-09-25T11:30:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,20,21.2,23.1,0.0,4.4,54,-37566,512424,11315,48881
288,67,8,2,True,2021-10-02T11:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,16,23.0,34.6,4.0,6.2,54,-9948,509455,26270,36218
288,75,9,-1,False,2021-10-16T14:00:00Z,4,2,8,90,0,0,0,4,0,0,0,1,0,0,0,13,14.8,2.8,2.0,2.0,54,-28779,483180,10392,39171
288,88,11,-1,True,2021-10-24T15:30:00Z,0,5,9,90,0,0,0,5,0,0,0,1,0,0,0,8,16.6,1.8,0.0,1.8,53,-48117,436086,3445,51562
288,98,17,7,False,2021-10-30T16:30:00Z,0,3,10,90,0,0,1,0,0,0,0,0,0,0,1,26,12.4,16.9,26.0,5.5,53,-44241,394597,3340,47581
288,108,12,1,True,2021-11-06T12:30:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,15,9.6,1.7,0.0,1.1,53,-6671,392136,8355,15026
288,119,18,0,False,2021-11-20T15:00:00Z,4,1,12,90,0,0,0,4,0,0,0,0,0,0,0,14,22.0,2.1,2.0,2.6,52,-8167,387369,11474,19641
