element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
308,9,19,2,True,2021-08-15T13:00:00Z,2,4,1,90,0,0,0,4,0,0,0,0,0,0,0,12,10.0,13.8,18.0,4.2,55,0,34866,0,0
308,11,2,2,False,2021-08-21T14:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,7,11.2,15.8,2.0,2.9,55,-2538,35663,3164,5702
308,25,16,2,True,2021-08-28T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,4,15.0,5.1,0.0,2.0,55,-2899,34218,4111,7010
308,38,13,2,False,2021-09-11T14:00:00Z,4,1,4,90,0,0,0,4,0,0,0,0,0,0,0,12,13.6,12.4,10.0,3.6,54,-6879,27908,2155,9034
308,46,10,1,True,2021-09-17T19:00:00Z,1,1,5,61,0,0,0,1,0,0,0,1,0,0,0,9,5.0,41.3,12.0,5.8,54,5473,35500,11023,5550
308,60,18,2,False,2021-09-25T14:00:00Z,1,1,6,78,0,0,0,1,0,0,0,0,0,0,0,15,11.6,13.4,12.0,3.7,54,-2786,32889,3965,6751
308,70,20,2,False,2021-10-02T14:00:00Z,2,1,7,76,0,0,0,2,0,0,0,0,0,0,0,8,3.2,2.4,0.0,0.6,54,-2688,30546,1599,4287
308,77,17,0,True,2021-10-17T15:30:00Z,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4272,26385,687,4959
308,85,7,1,False,2021-10-23T14:00:00Z,1,1,9,24,0,0,0,0,0,0,0,0,0,0,0,8,11.4,14.6,4.0,3.0,53,-1037,25625,1415,2452
308,96,6,1,True,2021-10-30T14:00:00Z,0,3,10,23,0,0,0,2,0,0,0,0,0,0,0,3,0.4,0.5,8.0,0.9,53,-2239,23509,736,2975
308,103,4,2,False,2021-11-06T17:30:00Z,1,1,11,73,0,0,0,1,0,0,0,0,0,0,0,3,3.8,11.6,0.0,1.5,53,-1109,22587,465,1574
308,116,3,0,True,2021-11-20T15:00:00Z,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,1024,23861,2493,1469
308,121,1,1,False,2021-11-27T12:30:00Z,2,0,13,23,0,0,0,0,0,0,0,0,0,0,0,3,3.0,12.0,0.0,1.5,52,-1363,22484,596,1959
308,138,15,1,True,2021-11-30T19:30:00Z,1,1,14,13,0,0,0,1,0,0,0,0,0,0,0,4,2.2,0.1,0.0,0.2,52,115,22697,1126,1011
308,145,5,3,True,2021-12-04T15:00:00Z,1,0,15,84,0,0,1,0,0,0,0,0,0,0,0,8,4.6,2.9,82.0,9.0,52,-1100,21636,382,1482
