element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
456,7,11,1,True,2021-08-14T16:30:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,15,32.4,0.6,51.0,8.4,45,0,6190,0,0
456,16,12,0,False,2021-08-21T14:00:00Z,5,0,2,90,0,0,0,5,0,0,0,0,0,0,0,16,27.4,0.2,2.0,3.0,45,-389,7357,432,821
456,26,9,1,True,2021-08-28T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,15,21.8,0.8,2.0,2.5,45,-754,7085,286,1040
456,31,1,0,False,2021-09-11T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-473,7261,472,945
456,47,18,0,True,2021-09-18T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-593,6958,184,777
456,55,8,1,False,2021-09-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,13,17.2,1.4,7.0,2.6,44,-406,6677,138,544
456,62,5,6,False,2021-10-02T14:00:00Z,0,0,7,90,0,0,1,0,0,0,0,0,0,0,0,27,14.4,0.5,6.0,2.1,44,-197,6585,153,350
456,78,4,6,True,2021-10-16T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,24,19.2,10.4,9.0,3.9,44,-65,6654,190,255
456,84,6,-4,False,2021-10-23T11:30:00Z,7,0,9,64,0,0,0,7,0,0,0,0,1,0,0,2,7.0,0.3,0.0,0.7,44,153,6931,324,171
456,97,10,0,True,2021-10-31T14:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1004,5909,97,1101
456,102,3,2,False,2021-11-06T15:00:00Z,1,2,11,90,0,0,0,1,0,0,0,0,0,0,0,19,23.4,0.3,0.0,2.4,44,-48,5951,187,235
456,117,16,2,True,2021-11-20T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,13,31.2,0.3,4.0,3.6,44,-84,5961,164,248
456,130,20,5,True,2021-11-27T15:00:00Z,0,0,13,90,0,0,1,0,0,0,0,1,0,0,0,25,11.4,1.0,0.0,1.2,44,60,6087,282,222
456,138,14,2,False,2021-11-30T19:30:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,15,21.8,3.9,0.0,2.6,44,267,6430,463,196
456,147,17,1,False,2021-12-05T14:00:00Z,3,0,15,90,0,0,0,3,0,0,0,0,0,0,0,15,28.2,11.7,4.0,4.4,44,-286,6159,115,401
