element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
418,9,14,1,False,2021-08-15T13:00:00Z,2,4,1,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,23.9,6.0,5.0,50,0,932002,0,0
418,20,9,5,True,2021-08-23T19:00:00Z,4,1,2,90,0,1,0,1,0,0,0,0,0,0,0,28,32.0,18.4,0.0,5.0,50,-46368,920647,26007,72375
418,28,7,1,True,2021-08-28T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,11,19.6,24.7,2.0,4.6,50,17636,956620,91910,74274
418,39,16,6,False,2021-09-11T14:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,0,0,0,21,13.4,8.2,0.0,2.2,50,-138656,822982,66260,204916
418,49,13,1,True,2021-09-19T13:00:00Z,1,2,5,90,0,0,0,2,0,0,0,0,0,0,0,11,9.6,12.2,2.0,2.4,50,-95337,732168,25062,120399
418,56,10,2,False,2021-09-25T14:00:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,0,0,20,26.0,32.6,2.0,6.1,50,-26484,712696,26324,52808
418,69,3,1,True,2021-10-03T13:00:00Z,1,2,7,90,0,0,0,2,0,0,0,0,0,0,0,11,11.0,16.1,32.0,5.9,50,-88619,623012,13523,102142
418,74,8,0,False,2021-10-17T13:00:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-100956,522850,1673,102629
418,90,17,0,True,2021-10-24T13:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-64494,458716,343,64837
418,91,2,1,False,2021-10-31T16:30:00Z,1,4,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.6,0.0,0.1,48,-45713,414723,2128,47841
418,110,11,1,True,2021-11-07T16:30:00Z,3,2,11,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,48,-23156,393419,1662,24818
418,120,20,0,False,2021-11-20T15:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-22555,371780,2041,24596
418,129,12,1,False,2021-11-28T14:00:00Z,2,1,13,29,0,0,0,1,0,0,0,0,0,0,0,6,5.8,11.0,0.0,1.7,47,-27859,344122,797,28656
418,136,4,2,True,2021-12-01T19:30:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,12,19.0,34.3,33.0,8.6,47,-11710,333203,1297,13007
