element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
270,6,10,2,True,2021-08-14T11:30:00Z,5,1,1,90,0,0,0,1,0,0,0,0,0,2,0,16,13.2,0.0,0.0,1.3,50,0,173508,0,0
270,19,16,3,False,2021-08-22T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,3,0,13,19.0,0.0,0.0,1.9,50,11840,245055,33102,21262
270,30,20,7,False,2021-08-29T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,5,0,29,35.4,0.0,0.0,3.5,50,-1484,261452,23908,25392
270,38,14,2,True,2021-09-11T14:00:00Z,4,1,4,90,0,0,0,1,0,0,0,0,0,2,0,11,19.0,0.0,0.0,1.9,50,144315,459479,215479,71164
270,49,19,10,False,2021-09-19T13:00:00Z,1,2,5,90,0,0,0,1,0,1,0,0,0,3,2,29,43.2,0.0,0.0,4.3,50,-22769,439922,36837,59606
270,58,2,2,True,2021-09-25T11:30:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,2,0,10,12.2,0.0,0.0,1.2,50,66743,537192,92246,25503
270,67,8,2,True,2021-10-02T11:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,1,0,9,7.0,0.0,0.0,0.7,51,2255,547444,36897,34642
270,75,9,2,False,2021-10-16T14:00:00Z,4,2,8,90,0,0,0,4,0,0,0,0,0,7,0,22,51.6,0.0,0.0,5.2,51,-15550,540369,27148,42698
270,88,11,1,True,2021-10-24T15:30:00Z,0,5,9,90,0,0,0,5,0,0,0,0,0,3,0,14,22.0,0.0,0.0,2.2,51,-49633,492443,7239,56872
270,98,17,6,False,2021-10-30T16:30:00Z,0,3,10,90,0,0,1,0,0,0,0,0,0,0,0,19,2.8,0.0,0.0,0.3,50,-40789,458522,7358,48147
