element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
224,7,15,6,False,2021-08-14T16:30:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,25,7.0,3.8,22.0,3.3,50,0,25704,0,0
224,15,5,6,True,2021-08-21T11:30:00Z,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,26,18.2,0.8,56.0,7.5,50,24115,72468,31178,7063
224,23,6,2,True,2021-08-28T16:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,8,16.2,3.6,18.0,3.8,50,19020,98977,35149,16129
224,36,10,6,False,2021-09-12T15:30:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,27,11.6,13.4,20.0,4.5,50,82202,200487,146977,64775
224,44,7,0,True,2021-09-18T14:00:00Z,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,104876,318733,141666,36790
224,52,3,1,False,2021-09-25T16:30:00Z,3,3,6,90,0,0,0,3,0,0,0,0,0,0,0,12,21.4,1.2,6.0,2.9,50,-12965,304531,31019,43984
224,66,12,1,True,2021-10-03T15:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,22,30.2,12.3,0.0,4.3,50,-26829,279410,13283,40112
224,80,18,6,False,2021-10-16T11:30:00Z,0,5,8,90,0,0,1,0,0,0,0,0,0,0,0,25,12.4,2.8,4.0,1.9,50,9918,295642,29087,19169
224,88,13,0,False,2021-10-24T15:30:00Z,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,6006,301913,22503,16497
224,94,4,0,True,2021-10-30T14:00:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16498,287882,18570,35068
