element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
149,3,6,1,False,2021-08-14T14:00:00Z,3,0,1,33,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.3,4.0,0.1,65,0,96513,0,0
149,13,3,1,True,2021-08-21T14:00:00Z,0,0,2,90,0,0,1,0,0,0,0,1,0,0,0,0,5.8,14.0,8.0,2.8,65,-8889,98830,7985,16874
149,28,19,5,False,2021-08-28T14:00:00Z,2,2,3,90,0,1,0,2,0,0,0,0,0,0,0,21,33.2,22.4,20.0,7.6,64,-17404,84428,4499,21903
149,34,17,2,True,2021-09-11T11:30:00Z,3,0,4,83,0,0,1,0,0,0,0,0,0,0,0,3,0.0,15.5,10.0,2.2,64,-11604,76763,6174,17778
149,44,11,2,False,2021-09-18T14:00:00Z,3,0,5,64,0,0,0,1,0,0,0,0,0,0,0,5,7.0,11.4,30.0,4.8,64,-7962,70833,4437,12399
149,54,4,1,True,2021-09-27T19:00:00Z,1,1,6,18,0,0,0,1,0,0,0,0,0,0,0,8,6.2,10.3,0.0,1.7,63,-2839,69790,5312,8151
149,64,9,1,True,2021-10-03T13:00:00Z,2,2,7,5,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.1,2.0,0.3,63,-5349,65153,1599,6948
149,71,1,9,False,2021-10-18T19:00:00Z,2,2,8,90,1,0,0,2,0,0,0,0,0,0,3,33,42.6,0.7,30.0,7.3,63,-3967,62337,1525,5492
149,85,14,5,True,2021-10-23T14:00:00Z,1,1,9,90,1,0,0,1,0,0,0,1,0,0,0,18,39.8,38.0,84.0,16.2,63,11735,76713,15548,3813
149,95,12,1,False,2021-10-30T14:00:00Z,0,2,10,25,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.5,8.0,1.0,63,10378,89067,20194,9816
149,105,20,2,True,2021-11-06T15:00:00Z,2,0,11,88,0,0,1,0,0,0,0,0,0,0,0,6,11.4,6.3,44.0,6.2,63,12580,103550,19869,7289
149,112,5,12,False,2021-11-20T15:00:00Z,3,3,12,90,2,0,0,3,0,0,0,1,0,0,3,47,75.0,15.3,69.0,15.9,63,17259,123146,26986,9727
149,126,2,2,True,2021-11-27T15:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,5,4.4,12.3,36.0,5.3,64,143102,274409,151674,8572
149,133,10,1,False,2021-11-30T20:15:00Z,1,0,14,22,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.2,25.0,2.7,64,27080,299405,49214,22134
149,144,13,2,False,2021-12-05T14:00:00Z,1,0,15,66,0,0,1,0,0,0,0,0,0,0,0,3,4.6,10.7,35.0,5.0,64,-43152,255636,15975,59127
