element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
426,5,9,2,False,2021-08-14T14:00:00Z,1,0,1,65,0,0,0,1,0,0,0,0,0,0,0,16,7.2,14.9,1.0,2.3,50,0,30970,0,0
426,17,17,2,True,2021-08-22T13:00:00Z,0,1,2,71,0,0,0,1,0,0,0,0,0,0,0,15,10.0,41.6,3.0,5.5,50,-1397,34854,3022,4419
426,30,13,2,True,2021-08-29T15:30:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,10,6.2,16.8,4.0,2.7,50,-2637,33538,2708,5345
426,40,18,4,False,2021-09-11T14:00:00Z,0,2,4,90,0,0,1,0,0,0,0,0,0,0,1,25,12.8,60.6,1.0,7.4,50,5269,41980,15892,10623
426,50,3,2,True,2021-09-18T11:30:00Z,0,2,5,90,0,0,0,2,0,0,0,0,0,0,0,13,9.2,12.2,0.0,2.1,50,15514,60902,26116,10602
426,59,16,3,False,2021-09-26T13:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,14,22.6,13.3,0.0,3.6,50,-2917,57703,6434,9351
426,70,14,2,True,2021-10-02T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,17,18.2,14.1,7.0,3.9,50,-2058,56575,4983,7041
426,72,2,2,False,2021-10-16T14:00:00Z,2,3,8,73,0,0,0,2,0,0,0,0,0,0,0,15,15.8,29.3,0.0,4.5,50,-1793,55486,5778,7571
426,87,10,2,False,2021-10-23T14:00:00Z,1,1,9,89,0,0,1,0,0,0,0,1,0,0,0,2,3.6,3.8,1.0,0.8,50,-3551,52233,2752,6303
426,100,8,2,True,2021-11-01T20:00:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,17,14.8,14.2,0.0,2.9,50,-3751,49097,2522,6273
