element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
168,4,16,2,True,2021-08-14T14:00:00Z,3,1,1,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25.9,11.0,4.5,55,0,1292519,0,0
168,14,10,0,False,2021-08-21T14:00:00Z,2,2,2,90,0,0,0,2,0,0,0,1,0,0,0,13,14.8,47.1,0.0,6.2,55,-52082,1317706,38901,90983
168,22,4,6,False,2021-08-28T14:00:00Z,0,2,3,90,0,0,1,0,0,0,0,0,0,0,0,19,4.0,6.8,10.0,2.1,55,-213807,1114963,29188,242995
168,35,5,2,True,2021-09-13T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,17.2,51.6,10.0,7.9,54,-72331,1072841,141148,213479
168,41,2,-1,False,2021-09-18T16:30:00Z,3,0,5,90,0,0,0,3,1,0,0,0,0,0,0,8,15.0,15.5,2.0,3.3,54,-134706,938589,23730,158436
168,55,15,5,True,2021-09-25T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,1,0,0,0,20,12.8,19.3,6.0,3.8,54,-122522,822935,28363,150885
168,67,13,2,False,2021-10-02T11:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,12,20.6,25.1,2.0,4.8,53,-101666,722917,13280,114946
168,74,19,2,True,2021-10-17T13:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,16,36.6,15.9,0.0,5.3,53,-76238,650063,8585,84823
168,86,18,-1,True,2021-10-23T14:00:00Z,2,5,9,90,0,0,0,5,0,0,0,1,0,0,0,7,22.2,40.3,29.0,9.2,53,4362,664115,31781,27419
168,100,20,0,False,2021-11-01T20:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-72652,586190,6619,79271
