element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
284,6,10,5,True,2021-08-14T11:30:00Z,5,1,1,90,0,1,0,1,0,0,0,0,0,0,0,23,30.2,13.4,0.0,4.4,50,0,38513,0,0
284,19,16,2,False,2021-08-22T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,12,13.2,0.8,0.0,1.4,50,4756,61124,10505,5749
284,30,20,0,False,2021-08-29T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2870,61246,4582,7452
284,38,14,0,True,2021-09-11T14:00:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-12032,50566,1955,13987
284,49,19,0,False,2021-09-19T13:00:00Z,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-8507,43258,496,9003
284,58,2,1,True,2021-09-25T11:30:00Z,0,1,6,23,0,0,0,1,0,0,0,0,0,0,0,7,7.0,0.2,0.0,0.7,49,-4947,39166,410,5357
284,67,8,2,True,2021-10-02T11:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,16,21.8,1.4,0.0,2.3,48,533,40772,3003,2470
284,75,9,2,False,2021-10-16T14:00:00Z,4,2,8,90,0,1,0,4,0,0,0,1,0,0,0,25,35.2,16.3,0.0,5.2,48,1393,43030,4198,2805
284,88,11,0,True,2021-10-24T15:30:00Z,0,5,9,90,0,0,0,5,0,0,0,0,0,0,0,13,9.2,0.3,0.0,1.0,48,-1601,41814,1290,2891
284,98,17,6,False,2021-10-30T16:30:00Z,0,3,10,90,0,0,1,0,0,0,0,0,0,0,0,25,17.2,0.7,0.0,1.8,48,-1700,40879,1581,3281
284,108,12,1,True,2021-11-06T12:30:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,15,13.2,0.8,0.0,1.4,48,-2106,39095,871,2977
284,119,18,0,False,2021-11-20T15:00:00Z,4,1,12,90,0,0,0,4,0,0,0,0,0,0,0,18,14.4,0.5,0.0,1.5,48,717,40606,2323,1606
284,125,6,2,False,2021-11-28T16:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,13,26.2,0.1,0.0,2.6,48,-1020,39843,1206,2226
284,134,1,1,True,2021-12-02T20:15:00Z,3,2,14,90,0,0,0,2,0,0,0,0,0,0,0,16,18.0,1.0,17.0,3.6,48,848,41053,1799,951
284,144,7,5,True,2021-12-05T14:00:00Z,1,0,15,90,0,0,1,0,0,0,0,1,0,0,0,22,9.4,3.0,0.0,1.2,48,6960,48793,8274,1314
284,160,15,7,False,2021-12-11T17:30:00Z,0,1,16,73,0,0,1,0,0,0,0,0,0,0,1,29,12.2,1.3,0.0,1.4,48,16474,67669,18719,2245
284,186,14,0,False,2021-12-27T20:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,2484,60107,4805,2321
284,198,5,0,True,2021-12-30T20:15:00Z,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-3733,49577,1423,5156
284,208,20,0,True,2022-01-03T17:30:00Z,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-4886,44985,65,4951
