goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Venezia,Sassuolo,1,4,2022-03-06,17035,2021,518205,0,0,0,0,0,0,0
0,0,0,90,GK,Verona,Venezia,3,1,2022-02-27,17019,2021,516528,0,0,0,0,0,0,0
0,0,0,90,GK,Venezia,Genoa,1,1,2022-02-20,17015,2021,514707,0,0,0,0,0,0,0
0,0,0,90,GK,Venezia,AC Milan,0,3,2022-01-09,16965,2021,507019,0,0,0,0,0,0.09516440331935883,0.09516440331935883
0,0,0,90,GK,Venezia,Lazio,1,3,2021-12-22,16945,2021,504504,0,0,0,0,0,0.09713409841060638,0.09713409841060638
0,0,0,90,GK,Sampdoria,Venezia,1,1,2021-12-19,16933,2021,504248,0,0,0,0,0,0.13307499885559082,0.13307499885559082
0,0,0,90,GK,Venezia,Juventus,1,1,2021-12-11,16925,2021,501818,0,0,0,0,0,0.025572199374437332,0.025572199374437332
0,0,0,90,GK,Venezia,Verona,3,4,2021-12-05,16915,2021,500593,0.09384769946336746,0,1,0,0,0.09384769946336746,0
0,0,0,90,GK,Atalanta,Venezia,4,0,2021-11-30,16896,2021,498593,0,0,0,0,0,0.017366599291563034,0.017366599291563034
0,0,0,90,GK,Venezia,Inter,0,2,2021-11-27,16895,2021,497659,0,0,0,0,0,0.014368100091814995,0.014368100091814995
0,0,0,90,GK,Bologna,Venezia,0,1,2021-11-21,16877,2021,496339,0,0,0,0,0,0.051487598568201065,0.051487598568201065
0,0,0,90,GK,Venezia,Roma,3,2,2021-11-07,16875,2021,494376,0,0,0,0,0,0,0
0,0,0,90,GK,Genoa,Venezia,0,0,2021-10-31,16859,2021,492888,0,0,0,0,0,0,0
0,0,0,90,GK,Venezia,Salernitana,1,2,2021-10-26,16855,2021,491137,0,0,0,0,0,0.0764508992433548,0.0764508992433548
0,0,0,90,GK,Sassuolo,Venezia,3,1,2021-10-23,16844,2021,490127,0,0,0,0,0,0,0
0,0,0,90,GK,Venezia,Fiorentina,1,0,2021-10-18,16835,2021,489328,0,0,0,0,0,0,0
0,0,0,90,GK,Manchester United,Watford,1,0,2018-05-13,7496,2017,240258,0,0,0,0,0,0.34458300471305847,0.34458300471305847
0,0,0,90,GK,Southampton,Manchester United,0,0,2017-05-17,3412,2016,132959,0,0,0,0,0,0.05444540083408356,0.05444540083408356
0,0,0,90,GK,Sunderland,Manchester United,0,3,2017-04-09,3452,2016,133698,0,0,0,0,0,0.06062519922852516,0.06062519922852516
0,0,0,90,GK,Swansea,Manchester United,2,1,2015-08-30,120,2015,63779,0,0,0,0,0,0.5704770088195801,0.5704770088195801
0,0,0,90,GK,Manchester United,Newcastle United,0,0,2015-08-22,101,2015,62806,0,0,0,0,0,0.014860300347208977,0.014860300347208977
0,0,0,90,GK,Aston Villa,Manchester United,0,1,2015-08-14,91,2015,57370,0,0,0,0,0,0.0589383989572525,0.0589383989572525
0,0,0,90,GK,Manchester United,Tottenham,1,0,2015-08-08,81,2015,574417,0,0,0,0,0,0,0
0,0,0,90,GK,Sampdoria,Udinese,2,2,2014-12-21,5025,2014,50929,0,0,0,0,0,0.18751400709152222,0.18751400709152222
0,0,0,90,GK,Juventus,Sampdoria,1,1,2014-12-14,5012,2014,50524,0,0,0,0,0,0.014586599543690681,0.014586599543690681
0,0,0,90,GK,Verona,Sampdoria,1,3,2014-12-08,5009,2014,50246,0,0,0,0,0,0.058987200260162354,0.058987200260162354
0,0,0,90,GK,Sampdoria,Napoli,1,1,2014-12-01,4999,2014,50064,0,0,0,0,0,0.10869300365447998,0.10869300365447998
0,0,0,90,GK,Cesena,Sampdoria,1,1,2014-11-23,5056,2014,49605,0,0,0,0,0,0.12364999949932098,0.12364999949932098
0,0,0,90,GK,Sampdoria,AC Milan,2,2,2014-11-08,5041,2014,49508,0,0,0,0,0,0,0
0,0,0,90,GK,Sampdoria,Fiorentina,3,1,2014-11-02,5033,2014,49202,0,0,0,0,0,0.10909000039100647,0.10909000039100647
0,0,0,90,GK,Inter,Sampdoria,1,0,2014-10-29,5101,2014,48881,0,0,0,0,0,0,0
0,0,0,90,GK,Sampdoria,Roma,0,0,2014-10-25,5091,2014,48672,0,0,0,0,0,0,0
0,0,0,69,Sub,Cagliari,Sampdoria,2,2,2014-10-19,5085,2014,48225,0,0,0,0,0,0.048977699130773544,0.048977699130773544
