goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Hull,Tottenham,1,7,2017-05-21,3513,2016,125220,0,0,0,0,0,0.01258660014718771,0.01258660014718771
0,0,0,90,GK,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129985,0,0,0,0,0,0.05047440156340599,0.05047440156340599
0,0,0,90,GK,Hull,Everton,2,2,2016-12-31,3155,2016,130325,0,0,0,0,0,0,0
0,0,0,90,GK,Hull,Manchester City,0,3,2016-12-26,3152,2016,129279,0,0,0,0,0,0.11185500025749207,0.11185500025749207
0,0,0,90,GK,West Ham,Hull,1,0,2016-12-17,3137,2016,128963,0,0,0,0,0,0,0
0,0,0,90,GK,Tottenham,Hull,3,0,2016-12-15,3134,2016,131498,0,0,0,0,0,0,0
0,0,0,90,GK,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129807,0,0,0,0,0,0.14757800102233887,0.14757800102233887
0,0,0,90,GK,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128658,0,0,0,0,0,0,0
0,0,0,90,GK,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129251,0,0,0,0,0,0.07353570312261581,0.07353570312261581
0,0,0,90,GK,Sunderland,Hull,3,0,2016-11-19,2700,2016,128685,0,0,0,0,0,0.045162901282310486,0.045162901282310486
0,0,0,90,GK,Hull,Southampton,2,1,2016-11-06,2694,2016,128454,0,0,0,0,0,0,0
0,0,0,90,GK,Watford,Hull,1,0,2016-10-29,2679,2016,127861,0,0,0,0,0,0.0702688992023468,0.0702688992023468
0,0,0,90,GK,Hull,Stoke,0,2,2016-10-22,545,2016,127183,0,0,0,0,0,0,0
0,0,0,90,GK,Bournemouth,Hull,6,1,2016-10-15,533,2016,127610,0,0,0,0,0,0,0
0,0,0,90,GK,Hull,Chelsea,0,2,2016-10-01,524,2016,127099,0,0,0,0,0,0,0
0,0,0,90,GK,Liverpool,Hull,5,1,2016-09-24,516,2016,126619,0,0,0,0,0,0,0
